日付,2021_5_30__23_34_56
年齢,12
性別,男性
右手
スコア(秒),21.08918
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
2.247468,-88.3782, 411.8229, 59.18822
2.253293,-88.39208, 412.534, 59.26655
2.25992,-88.45906, 413.2361, 59.30179
2.265596,-88.52738, 413.902, 59.35426
2.272598,-88.52738, 413.902, 59.35426
2.279026,-88.54388, 414.5014, 59.43739
2.285937,-88.54795, 415.0078, 59.45081
2.292655,-88.5142, 415.5362, 59.39787
2.298773,-88.46905, 415.9625, 59.3486
2.306338,-88.46905, 415.9625, 59.3486
2.313728,-88.40598, 416.3332, 59.2375
2.319591,-88.34972, 416.6726, 59.20153
2.326595,-88.23198, 417.0133, 59.10527
2.332661,-88.23198, 417.0133, 59.10527
2.34097,-88.08905, 417.2863, 59.02236
2.348299,-87.9704, 417.6157, 58.99799
2.353832,-87.82941, 417.8715, 58.97842
2.362286,-87.63524, 418.1187, 58.96844
2.370753,-87.63524, 418.1187, 58.96844
2.376704,-87.41083, 418.3745, 58.90287
2.384557,-87.14317, 418.591, 58.80503
2.390753,-86.83338, 418.6528, 58.67722
2.396549,-86.83338, 418.6528, 58.67722
2.405187,-86.51717, 418.8133, 58.56252
2.4111,-86.13181, 418.9583, 58.43728
2.418206,-85.67603, 419.2673, 58.39858
2.42485,-85.20731, 419.6684, 58.35139
2.430503,-85.20731, 419.6684, 58.35139
2.437971,-84.58385, 419.7444, 58.30083
2.443423,-83.6755, 419.8204, 58.11973
2.450814,-82.76212, 419.8167, 57.97007
2.458734,-81.76431, 419.5959, 57.887
2.467277,-81.76431, 419.5959, 57.887
2.475031,-80.61634, 419.4728, 57.89226
2.483732,-79.35909, 419.569, 57.94931
2.489436,-79.35909, 419.569, 57.94931
2.495988,-77.81834, 420.0118, 58.34676
2.503751,-76.05938, 420.4774, 59.04765
2.510296,-74.18488, 420.922, 59.64604
2.517359,-72.43787, 421.0728, 59.86622
2.524225,-70.56876, 421.0431, 60.54231
2.529329,-70.56876, 421.0431, 60.54231
2.537147,-68.68037, 420.5335, 60.97575
2.543701,-66.96055, 420.3387, 61.6521
2.577752,-65.20579, 420.0603, 62.43979
2.587745,-65.20579, 420.0603, 62.43979
2.595057,-63.70837, 419.4729, 63.10413
2.602741,-62.26929, 418.7816, 63.52362
2.608253,-60.93295, 418.0811, 63.99519
2.614545,-60.93295, 418.0811, 63.99519
2.620916,-59.67608, 417.7266, 64.30084
2.628037,-58.61806, 417.893, 64.77992
2.633999,-57.87332, 418.4323, 65.07601
2.640721,-57.22786, 419.1467, 65.29915
2.647395,-56.73535, 420.1124, 65.40877
2.653538,-56.73535, 420.1124, 65.40877
2.660623,-56.64964, 421.2054, 65.39541
2.665904,-56.44307, 422.3471, 65.41202
2.673322,-56.37566, 423.4048, 65.44202
2.680148,-56.37566, 423.4048, 65.44202
2.685883,-56.21526, 424.389, 65.3988
2.693091,-56.22342, 425.2327, 65.36364
2.698784,-56.19976, 425.9493, 65.22636
2.705662,-56.11632, 426.58, 65.29768
2.710666,-56.11632, 426.58, 65.29768
2.718221,-56.10689, 427.029, 65.29219
2.72523,-56.16013, 427.5858, 65.29774
2.731154,-56.25436, 428.1392, 65.28017
2.738329,-56.25436, 428.1392, 65.28017
2.74342,-56.42891, 429.0063, 65.34337
2.750904,-56.62991, 429.785, 65.40311
2.757981,-56.87717, 430.5347, 65.42696
2.762966,-57.16914, 431.1656, 65.28642
2.770578,-57.46885, 431.7182, 65.20268
2.776732,-57.46885, 431.7182, 65.20268
2.784431,-57.79082, 432.2049, 65.03376
2.791521,-58.18917, 432.7106, 64.86212
2.796966,-58.56726, 433.308, 64.77601
